Opening Spaces: An Anthology of Contemporary African Women's Writing,Yvonne Vera,1,September 1999
The Caine Prize for African Writing 2010: 11th Annual Collection,The Caine Prize for African Writing,2,August 2010
African Folktales,Roger D. Abrahams,3,August 1983
Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,Vincent Carretta,4,December 2003
Women Writing Africa: West Africa and the Sahel,Esi Sutherland-Addy,5,August 2005
"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",The Caine The Caine Prize for African Writing,6,September 2009
Introduction to African Oral Literature and Performance,Bayo Ogunjimi,7,February 2006
Violence in Francophone African and Caribbean Women's Literature,Marie-Chantal Kalisa,8,December 2009
Oral Epics from Africa,John William Johnson,9,March 2008
African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,Tony Martin,10,October 1991
Land Apart: A South African Reader,Various,11,June 1987
Women Writing Africa: The Eastern Region,Amandina Lihamba,12,February 2007
Nobody Ever Said AIDS: Poems and Stories from Southern Africa,Nobantu Rasebotsa,13,March 2010
Step into a World: A Global Anthology of the New Black Literature,Kevin Powell,14,October 2000
An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,15,February 2004
The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,New Internationalist,16,July 2009
"Traditions in World Literature: Literature of Africa, Softcover Student Edition",McGraw-Hill,17,January 1999
Love Child,Gcina Mhlophe,18,March 2002
Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,Jacana Media,19,June 2006
Women Writing Africa: The Southern Region: Volume 1,Sheila Meintjes,20,December 2002
Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,ValZrie Orlando,21,December 2002
Less Than One and Double: A Feminist Reading of African Women's Writing,Kenneth W. Harrow,22,November 2001
The Rienner Anthology of African Literature,Anthonia C. Kalu,23,April 2007
Oral and Written Expressions of African Cultures,Toyin Falola,24,March 2009
Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,Monica Arac de Nyeko,25,July 2008
Up the Down Escalator,Linda Rode,26,March 2010
Basali!: Stories by and about Women in Lesotho,K. Limakatso Kendall,27,February 1995
How God Fix Jonah,Lorenz Graham,28,October 2000
Glass Jars among Trees,Arja Salafranca,29,April 2005
Running Towards Us: New Writing from South Africa,Isabel Balseiro,30,May 2000
Of Suffocated Hearts And Tortured Souls,Valerie Key Orlando,31,December 2002
An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,Werner Sollors,32,February 2004
Among the Blacks,Ron Padgett,33,October 1988
The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,34,September 2010
The Best American Nonrequired Reading 2010,Dave Eggers,35,October 2010
The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,Jon Stewart,36,October 2010
100 Best-Loved Poems,Philip Smith,37,May 1995
"The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback",Wayne Franklin,38,July 2007
The Best American Poetry 2009,David Wagoner,39,September 2009
The Oxford Book of American Short Stories,Joyce Carol Oates,40,September 1994
The Best American Essays 2009,Mary Oliver,41,October 2009
"The Norton Anthology of American Literature, Package 2: Volumes C, D, and E",Jerome Klinkowitz,42,April 2007
Early African American Classics (Barnes &amp; Noble Classics Series),Barnes &amp; Noble,43,October 2008
"African-American Poetry: An Anthology, 1773-1930",Joan R. Sherman,44,July 1997
Couldn't Keep It to Myself: Testimonies from Our Imprisoned Sisters,Wally Lamb,45,February 2004
"The Norton Anthology of Poetry, Shorter 5th Edition",Margaret Ferguson,46,December 2004
The Best American Poetry 2010,Amy Gerstler,47,September 2010
"Classic Slave Narratives: The Life of Olaudah Equiano, The History of Mary Prince, Narrative of the Life of Frederick Douglass, Incidents in the Life of a Slave Girl",Henry Louis Gates Jr.,48,January 2002
The Best American Nonrequired Reading 2009,Dave Eggers,49,October 2009
In Fact: The Best of Creative Nonfiction,Lee Gutkind,50,November 2004
The Best American Essays of the Century,Joyce Carol Oates,51,October 2001
The Best Loved Poems of the American People,Hazel Felleman,52,October 1936
The Norton Anthology of American Literature: Volume A: Beginnings to 1820,Wayne Franklin,53,April 2007
The Norton Anthology of Poetry,Margaret Ferguson,54,December 2004
